id,name,age,course,marks,city
12,Drucie,29,BCom,86,Bangalore
13,Elka,24,BCA,81,Hyderabad
14,Tami,18,BCom,90,Vijayawada
15,Dianemarie,18,BCA,100,Chennai
16,Lyssa,26,BCA,68,Bangalore
17,Ellette,20,BCom,93,Chennai
18,Lolita,20,BCA,88,Vijayawada
19,Julieta,25,BTech,90,Bangalore
20,Phylis,29,BCom,97,Vijayawada
21,Glynnis,25,BSc,76,Bangalore
22,Nikki,24,BTech,79,Bangalore
23,Susette,19,BTech,76,Kadapa
24,Caressa,25,BCA,74,Kadapa
25,Corry,27,BCom,69,Bangalore
26,Sidoney,21,BCom,88,Hyderabad
27,Veda,30,BTech,87,Hyderabad
28,Janenna,19,BCom,91,Chennai
29,Cathie,21,BCA,86,Bangalore
30,Beverley,25,BSc,78,Vijayawada
31,Charissa,28,BSc,81,Vijayawada
32,Miquela,29,BCA,95,Hyderabad
33,Joelly,30,BCA,92,Kadapa
34,Marguerite,22,BCA,68,Hyderabad
35,Abbie,22,BCom,97,Chennai
36,Cassandra,24,BCA,72,Bangalore
37,Paulita,25,BSc,63,Chennai
38,Blake,28,BCA,86,Bangalore
39,Suzette,28,BCA,60,Vijayawada
40,Genevra,23,BCA,96,Hyderabad
41,Karolina,21,BTech,85,Kadapa
42,Nadine,25,BSc,87,Chennai
43,Florie,21,BSc,83,Bangalore
44,Gusty,23,BSc,85,Hyderabad
45,Dawn,20,BCA,93,Hyderabad
46,Alejandra,30,BCom,79,Hyderabad
47,Cherrita,24,BSc,62,Vijayawada
48,Sean,27,BSc,74,Chennai
49,Nita,20,BCom,98,Bangalore
50,Michaelina,30,BSc,63,Chennai
51,Elyssa,24,BTech,72,Bangalore
52,Aurore,23,BCom,75,Vijayawada
53,Kalina,27,BSc,83,Hyderabad
54,Lorie,19,BTech,89,Vijayawada
55,Jany,19,BCom,73,Vijayawada
56,Tressa,27,BCom,77,Chennai
57,Meghann,30,BCA,83,Bangalore
58,Damaris,26,BTech,62,Hyderabad
59,Candi,24,BCom,72,Hyderabad
60,Chickie,20,BTech,61,Kadapa
61,Yolane,24,BCA,63,Chennai
